Số báo danh; Toán; Văn; Lí; Hoá; Ngoại ngữ; Sử; Địa; Sinh; GDCD;
01012163;5;8.75;;;;8.25;;;;;22
01012164;8;8.5;;;7.5;;;;;;32.25
01012165;5.75;8.75;;;5.25;;;;;;28.25
01012166;7.25;9;;;6.75;;;;;;31.5
01012167;8.25;8.75;;;5.5;;;;;;31.25
01012168;8;8.5;;;8;;;;;;33
01012169;6.75;9;;;6.5;;;;;;30.75
01012170;4.25;8;;;5.75;;;;;;25.5
01012171;5.75;9;;;5.5;;;;;;27.5
01012172;4.25;6.25;;;3.75;;;;;;21
01012173;7.25;9;;;7.5;;;;;;32
01012174;7.25;9;;;5;;;;;;28.5
01012175;7.25;9.25;;;;8.85;;;;;25.35
01012176;6.25;9.25;;;6.5;;;;;;30.5
01012177;5.6;8;;;7.5;;;;;;28.85
01012178;8.75;8.75;;;5.75;;;;;;32
01012179;5.35;8.25;;;5.5;;;;;;27.6
01012180;3.5;5.25;;;3.75;;;;;;20
01012181;5;8.75;;;3.75;;;;;;24.25
01012182;6;8.75;;;;8.5;;;;;23.25
01012183;7.5;9;;;7;;;;;;33
01012184;6.5;8.75;;;7.25;;;;;;31.75
01012185;5.75;8;;6.75;;;;5.1;;;25.6
01012186;4.75;8.25;;;3;;;;;;24.5
01012187;6.25;9.5;;;4.75;;;;;;27.5
01012188;6.35;9;;;8;;;;;;32.6
01012189;7;9;;;7.5;;;;;;32.5
01012190;6.85;9;;;6.5;;;;;;31.35
01012191;6.25;9.25;;;8.25;;;;;;33.5
01012192;7.5;9;;;8;;;;;;33.25
01012193;6.75;8.5;;;9;;;;;;32.25
01012194;8;8.5;;;4.75;;;;;;30.5
01012195;6;8.75;;;6.5;;;;;;29.5
01012196;8;9;;;6.75;;;;;;32.75
01012197;5.25;9;;;7;;;;;;29.75
01012198;4.35;9.25;;;5.75;;;;;;27.1
01012199;4.75;8.75;;;2.5;;;;;;24.25
01012200;7.25;9;;8.5;;;;6.85;;;31.6
01012201;4.6;9;;;5.5;;;;;;28.1
01012202;7.5;9;;;5.75;;;;;;31
01012203;6.85;8.75;;;5;;;;;;28.35
01012204;5.75;8.5;;;5;;;;;;26
01012205;7.25;8.5;;;5.25;;;;;;29.25
01012206;6.75;9.25;;;6.5;;;;;;30
01012207;7.5;8.5;;;8.5;;;;;;32.5
01012208;5.25;9;;;6;;;;;;28.5
01012209;8.5;9;;;7.25;;;;;;33.25
01012210;5.75;8;;;6.25;;;;;;26.5
01012211;6.35;8.5;;;7;;;;;;30.85
01012212;7;7.75;;;8;;;;;;32
01012213;9.25;7.5;;9.75;;;;9.25;;;35.75
01012214;6.5;7.5;;;6;;;;;;28.25
01012215;7.5;8;;;4.75;;;;;;27.75
01012216;6.75;7.5;;;;8.75;;6.35;;;29.35
01012217;3.35;5.5;;;4;;;;;;20.6
01012218;3.35;7;;;3;;;;;;20.35
01012219;5;8.75;;;5;;;;;;27.5
01012220;7.25;8;;;7.5;;;;;;31
01012221;5;8.75;;;4.5;;;;;;25
01012222;5.75;8.25;;;6;;;;;;29.5
01012223;5.75;8;;;9.75;;;;;;33
01012224;5.85;7.75;;;6.5;;;;;;29.1
01012225;8;9;;;7.25;;;;;;33.5
01012226;7.5;8.5;;8.75;;;;7.75;;;32.5
01012227;5.25;8.5;;;5.5;;;;;;26.75
01012228;5.7;9;;;7;;;;;;30.45
01012229;5;7.5;;;3.75;;;;;;24.75
01012230;7;8.75;;;7;;;;;;29.5
01012231;6.35;8;;;7;;;;;;30.6
01012232;7.75;8;;;9;;;;;;33.25
01012233;4.25;7;;6.75;;;;5.75;;;23.75
01012234;5.25;8;;;4.5;;;;;;27
01012235;7.25;9.5;;;8.5;;;;;;33.25
01012236;8.25;8.75;;;8.75;;;;;;33.5
01012237;6.75;7.25;;7;;;;7;;;28
01012238;7;7;;7.25;;;;7.35;;;28.6
01012239;4;3.75;;;6.75;;;;;;24.25
01012240;7.5;7.75;;8.75;;;;8.25;;;32.25
01012241;5.25;7.5;;;5.25;;;;;;27
01012242;6;8;;6.75;;;;6.5;;;27.25
01012243;5.75;7.75;;;5.25;;;;;;26.35
01012244;5.5;8.25;;;5.25;;;;;;27.25
01012245;5.5;7.5;;;5.75;;;;;;26
01012246;4.25;7.75;;;9.25;;;;;;30.5
01012247;6.25;7.5;;;7;;;;;;29.75
01012248;7;8.25;;;;;7;;;;22.25
01012249;5.25;7.75;;;7.25;;;;;;28.75
01012250;4.75;6.25;;;4;;;;;;22.5
01012251;6.5;9.25;;;6.5;;;;;;31.75
01012252;7.75;7.25;;9.5;;;;8.5;;;33
01012253;7.25;8.5;;;5.75;;;;;;30.25
01012254;5.75;8.5;;;8.25;;;;;;30.5
01012255;5.25;8.5;;;7.5;;;;;;28.85
01012256;9;8.75;;;9.75;;;;;;35.75
01012257;4;7.5;;;4.75;;;;;;24
01012258;7.5;8.25;;9;;;;8.25;;;33
01012259;6.25;9.5;;;8;;;;;;31
01012260;6;8.5;;;6.5;;;;;;29.75
01012261;6;9;;;5.5;;;;;;29.75
01012262;8.25;8.5;;;6.75;;;;;;32.5
01012263;6.75;8;;;6.5;;;;;;28.75
01012264;8;7.75;;8;;;;7.25;;;31
01012265;5.5;8.5;;;6;;;;;;28.25
01012266;7.5;8.25;;6.75;;;;6.85;;;29.35
01012267;6.75;9.75;;;6.75;;;;;;32.5
01012268;6.1;7.75;;;4.75;;;;;;27.6
01012269;4.5;7;;;4.75;;;;;;24.75
01012270;5.25;8.75;;;3.75;;;;;;26
01012271;6;9.25;;;5.25;;;;;;28.25
01012272;5.35;9;;;6;;;;;;28.35
01012273;5.85;8.5;;;6.75;;;;;;28.6
01012274;7;8.25;;;5.5;;;;;;30.25
01012275;5;9;;;6.5;;;;;;29.5
01012276;6.75;9;;;6;;;;;;30.5
01012277;4.75;8.25;;;3.75;;;;;;23.5
01012278;5.25;8.75;;;5;;;;;;27.75
01012279;6.75;8.25;;6.75;;;;8.5;;;30.25
01012280;5.6;8.5;;;5.25;;;;;;27.85
01012281;5;8;6.25;;;7;;;;;26.25
01012282;4.85;7.75;;;8.75;;;;;;28.85
01012283;3.75;6;;;3.75;;;;;;20.75
01012284;5;8;;;7;;;;;;27.75
01012285;5.25;8;;5.25;;;;5.6;;;24.1
01012286;5.75;7;;;4.75;;;;;;27
01012287;5.1;7;;;4.25;;;;;;23.6
01012288;6.75;8.5;;;4.25;;;;;;27.75
01012289;4.75;7.5;;;4.5;;;;;;24.25
01012290;2.6;8.25;;;3;;;;;;19.7
01012291;6.25;9.25;;;5.75;;;;;;30
01012292;4.7;8.75;;;6;;;;;;27.45
01012293;6;8.5;;;6.25;;;;;;29.75
01012294;5;9.25;;;6.5;;;;;;28.75
01012295;4;8.75;;;4.75;;;;;;26.25
01012296;6;9;;;6.75;;;;;;29.75
01012297;7.75;9;;;7;;;;;;32.75
01012298;6.75;7.75;;8.25;;;;7.25;;;30
01012299;5.75;8.25;;;6.25;;;;;;28.25
01012300;5.85;8.75;;;8.75;;;;;;32.1
01012301;6;7.75;;;3.75;;;;;;26.75
01012302;6.25;8.25;;6.5;;;;7.75;;;28.75
01012303;9;9.25;;7.75;;;;7.5;;;33.5
01012304;7.75;7.5;;;5.75;;;;;;29.25
01012305;5;7.25;;;3;;;;;;22.25
01012306;6.85;9;;;6.75;;;;;;32.6
01012307;4.25;8.25;;;6.25;;;;;;25.5
01012308;7.5;9;;;6.5;;;;;;32
01012309;5.85;7.75;;8.25;;;;9;;;30.85
01012310;7.5;9;;;7;;;;;;32.75
01012311;7.5;8.75;;;5.5;;;;;;30.75
01012312;7;7.5;;7.75;;;;7.5;;;29.75
01012313;6.6;8.75;;;8.75;;;;;;32.6
01012314;5.75;9;;;6;;;;;;29.5
01012315;5.25;8;;;2.25;;;;;;22.5
01012316;7;8.5;;6.5;;;;7.25;;;29.25
01012317;7.5;7.25;;;7;;;;;;30.5
01012318;6.75;8.25;;;;8;;;;;23
01012319;6.25;7.75;;;7;;;;;;30.25
01012320;7.25;8.75;;;9.25;;;;;;34.75
01012321;6.75;8;;;5.75;;;;;;28.75
01012322;4.75;9;;;6.25;;;;;;29.25
01012323;4.85;9;4.25;;;8;;;;;26.1
01012324;6.1;8.75;;;8.5;;;;;;33.35
01012325;6.5;8.5;5.6;;;6.25;;;;;26.85
01012326;7.5;8.25;;;6.25;;;;;;29
01012327;5.5;9.25;;;4.75;;;;;;27.75
01012328;6;9.25;;;5.75;;;;;;27.75
01012329;6.25;8.75;;;5;;;;;;29.75
01012330;9;8.25;;;5.75;;;;;;32
01012331;8.5;9.5;;;6.75;;;;;;34.75
01012332;3.25;8.5;;;4.25;;;;;;22.25
01012333;6.1;9;;;9.5;;;;;;33.85
01012334;6;8.25;;;6.25;;;;;;29
01012335;6.35;8.75;;;6;;;;;;28.1
01012336;5;9;;8.5;;;;8.25;;;30.75
01012337;6.75;8.25;;;6;;;;;;30
01012338;6.5;9;;;7.25;;;;;;30.75
01012339;5.75;9;;;2.75;;;;;;26.5
01012340;4.75;8.75;;8;;;;6.1;;;27.6
01012341;9.5;8;;9.5;;;;9.25;;;36.25
01012342;8;7.25;;8;;;;7.5;;;30.75
01012343;6.25;8.25;;;7;;;;;;28.75
01012344;4.25;8.75;;;4.5;;;;;;23.5
01012345;4.5;7.5;;;3.5;;;;;;23.75
01012346;2.85;7.75;;;5.5;;;;;;24.1
01012347;5.75;8.5;;;5.75;;;;;;28.75
01012348;3.5;8.75;;;6.25;;;;;;27
01012349;7.1;8.25;;;5.25;;;;;;27.85
01012350;6.75;9.5;;;7.5;;;;;;32
01012351;6.75;8.5;;;4.5;;;;;;27
01012352;8.5;9;;;7.75;;;;;;33.25
01012353;8.5;9;;;7;;;;;;34.5
01012354;5.35;8.5;;;5.25;;;;;;28.1
01012355;4.5;8.25;;;4.5;;;;;;26
01012356;6;8.75;4.75;;;8.5;;;;;28
01012357;4.35;8.75;;;6.75;;;;;;26.85
01012358;6.75;9;;;4.5;;;;;;27
01012359;5.25;8.75;;;4;;;;;;26.5
01012360;5.75;9;;;5;;;;;;28.25
01012361;4.5;9;;;5.25;;;;;;26.25
01012362;6.5;9.25;;;5.5;;;;;;28.5
01012363;5.25;9;;;5;;;;;;29.25
01012364;4.25;8;;;4.25;;;;;;24.75
01012365;6;8;;;6.5;;;;;;29.25
01012366;7;8.75;;;6.5;;;;;;31
01012367;6.1;7;;;9.25;;;;;;30.35
01012368;6;8.5;;;5.25;;;;;;27.75
01012369;5.85;8;;;6;;;;;;28.1
01012370;7;8.5;;;7.75;;;;;;32.5
01012371;4.85;8.25;;6;;;;6.75;;;25.85
01012372;5.5;7.75;;;6;;;;;;27.5
01012373;4.75;7;;6;;;;5.1;;;22.85
01012374;8.5;9.25;;;7.5;;;;;;35
01012375;8;7.75;;7.5;;;;8;;;31.25
01012376;4.5;8.25;;;6.5;;;;;;27.5
01012377;8.5;8;;9.25;;;;8.75;;;34.5
01012378;7.25;9.25;;;;8;;;;;24.5
01012379;5.5;8.5;;;;8;;;;;22
01012380;5.35;7.75;;;8.25;;;;;;29.85
01012381;5;8.75;;;6.5;;;;;;29.75
01012382;7.5;8.25;;;8.25;;;;;;32.75
01012383;5;7.75;;3.7;;;;4.35;;;20.8
01012384;4.5;8.25;;;;;8;;;;20.75
01012385;5.75;9.25;;;9;;;;;;33.5
01012386;4.5;8;;;6.5;;;;;;27
01012387;6.75;9.25;;;6.25;;;;;;31.25
01012388;5.25;9;;;5.75;;;;;;27.75
01012389;4.85;8;;;7.75;;;;;;27.6
01012390;5.6;8.75;;;6.75;;;;;;28.35
01012391;5.2;9.25;;;4.5;;;;;;26.7
01012392;6;8.5;;;;6.6;;;;;21.1
01012393;8;7.25;;;6.25;;;;;;30.25
01012394;5.25;8.5;;;8.25;;;;;;30.25
01012395;7;8.5;;;6;;;;;;29.85
01012396;7.75;8;;;8.25;;;;;;32.75
01012397;4.25;7.5;;;4.25;;;;;;25.5
01012398;6;8.5;;;5.5;;;;;;28.1
01012399;4.35;8;;;4.25;;;;;;22.95
01012400;7;8.25;;;7;;;;;;31
01012401;8;8.25;;;8;;;;;;31.75
01012402;4.25;7;;;4;;;;;;24
01012403;4.35;8.25;;;4.5;;;;;;25.35
01012404;7.25;9.25;;;6.25;;;;;;32.75
01012405;5.5;8.5;;;4.5;;;;;;26.75
01012406;6.5;8.25;;;6.5;;;;;;30
01012407;7.25;9.25;;;6.75;;;;;;31.5
01012408;6.75;8.75;;;8.5;;;;;;30.5
01012409;5.75;8;;;5.75;;;;;;26.25
01012410;3.6;7.5;;;4;;;;;;21.85
01012411;7;8.75;;;6.75;;;;;;31.25
01012412;5.5;6.75;;;8;;;;;;28.25
01012413;5.75;8.25;;;9.25;;;;;;32
01012414;7;6.25;;;9.25;;;;;;30
01012415;7.5;8.5;;;8.25;;;;;;32.75
01012416;5;8.5;;;5.75;;;;;;27.25
01012417;4.5;8.25;;;6.75;;;;;;28.75
01012418;5.35;7.75;;;;8.75;;;;;21.85
01012419;3.75;6.25;;;5.75;;;;;;22.75
01012420;4;8.5;;;5;;;;;;26
01012421;3.6;7.75;;;3.25;;;;;;21.85
01012422;6.6;8;;;;5.25;;;;;19.85
01012423;4.85;8.25;;;7;;;;;;28.85
01012424;3.5;7.75;;;5;;;;;;24.5
01012425;6.5;8.25;6.75;;7;;;;;;28.5
01012426;6.75;8.5;6.75;;7;;;;;;29
01012427;7.5;7.5;9.25;;5.25;;;;;;29.5
01012428;6.75;6.5;6.75;;6;;;;;;26
01012429;6;7.75;7;;6.75;;;;;;27.5
01012430;6.1;7.5;8;;5.5;;;;;;27.1
01012431;7.25;7;9.5;;6.25;;;;;;30
01012432;8.25;9;8.5;;7.5;;;;;;33.25
01012433;5.35;8.25;;;;8.5;;;;;22.1
01012434;5.5;7.75;4.25;;5;;;;;;22.5
01012435;5.5;8;;;;6.5;;;;;20
01012436;6;8.5;;;;6.75;;;;;21.25
01012437;6;7.5;7;;8;;;;;;28.5
01012438;6.25;7.5;7.25;;5.25;;;;;;26.25
01012439;7;8.5;9.75;;6;;;;;;31.25
01012440;7.5;9;9.5;;8.25;;;;;;34.25
01012441;9;8.75;9.5;;6.5;;;;;;33.75
01012442;8;8.5;10;;9;;;;;;35.5
01012443;7.25;8.5;5.75;;6;;;;;;27.5
01012444;8.5;9.5;9.5;;7.75;;;;;;35.25
01012445;9;7.75;9.5;;9.25;;;;;;35.5
01012446;5;7.25;7;;4.25;;;;;;23.5
01012447;5;7;7.5;;4.25;;;;;;23.75
01012448;8.25;8;8.5;;5.75;;;;;;30.5
01012449;7.5;5.5;8.25;;6;;;;;;27.25
01012450;7.75;6;7.5;;9;;;;;;30.25
01012451;5.75;8;5.5;;5.5;;;;;;24.75
01012452;8;8;7.5;;6.75;;;;;;30.25
01012453;6.75;8.5;8;;6.25;;;;;;29.5
01012454;8.5;9;9.75;;7.5;;;;;;34.75
01012455;8.25;9;9.75;;7;;;;;;34
01012456;8;9;8.25;;7.5;;;;;;32.75
01012457;8;9.25;7.25;;9.25;;;;;;33.75
01012458;6.75;8;10;;7.25;;;;;;32
01012459;6.75;8.25;5;;6.75;;;;;;26.75
01012460;8.5;9.25;6.5;;6.75;;;;;;31
01012461;8.25;9;9;;8.25;;;;;;34.5
01012462;7.25;9;6.5;;5.25;;;;;;28
01012463;6.75;8.75;8.25;;8;;;;;;31.75
01012464;8.5;8.75;8.25;;7.5;;;;;;33
01012465;6.75;8;8.75;;6.75;;;;;;30.25
01012466;5.6;7.75;7.5;;6.75;;;;;;27.6
01012467;7.5;6.75;7.5;;5.75;;;;;;27.5
01012468;6;6;8;;4.5;;;;;;24.5
01012469;7.75;8;8.5;;6;;;;;;30.25
01012470;8.5;8.75;8;;8.5;;;;;;33.75
01012471;6.1;8.75;6.5;;7;;;;;;28.35
01012472;5.5;9.25;6;;5.75;;;;;;26.5
01012473;9;8.75;9.75;;9;;;;;;36.5
01012474;7.75;9;7.5;;7;;;;;;31.25
01012475;7;9.25;4.5;;7;;;;;;27.75
01012476;6.5;7.5;7;;6.5;;;;;;27.5
01012477;9;8.25;9.5;;6.75;;;;;;33.5
01012478;7.5;8.25;6;;5;;;;;;26.75
01012479;5.5;7.25;6;;9;;;;;;27.75
01012480;8;7.5;9;;6;;;;;;30.5
01012481;6.5;7;7.25;;8.5;;;;;;29.25
01012482;8.25;8.75;7.5;;6;;;;;;30.5
01012483;7;7;8.25;;7;;;;;;29.25
01012484;6.35;9;6.35;;5.5;;;;;;27.2
01012485;6;7.75;8.25;;7.75;;;;;;29.75
01012486;6.5;8.75;8.1;;5;;;;;;28.35
01012487;8;7.75;7;;7.75;;;;;;30.5
01012488;7.5;8;8;;6;;;;;;29.5
01012489;7;7.5;7;;6.5;;;;;;28
01012490;7.75;8;8.25;;7.5;;;;;;31.5
01012491;8;6.75;6.75;;7.75;;;;;;29.25
01012492;6.5;8;6.75;;7.25;;;;;;28.5
01012493;7.75;5.75;9;;7.25;;;;;;29.75
01012494;7.75;8.75;8.25;;6.75;;;;;;31.5
01012495;7;6;9.5;;8.25;;;;;;30.75
01012496;7.5;8;7.5;;7.5;;;;;;30.5
01012497;6.75;7.75;6;;5.25;;;;;;25.75
01012498;7.25;8.5;5.5;;7.5;;;;;;28.75
01012499;5.5;8.75;7;;5.5;;;;;;26.75
01012500;6.25;7.5;6.75;;5.25;;;;;;25.75
01012501;8.5;7.75;8.5;;6.75;;;;;;31.5
01012502;7.25;8.5;7.5;;6;;;;;;29.25
01012503;5.85;9;8;;4.5;;;;;;27.35
01012504;8.5;8.5;8.5;;7.5;;;;;;33
01012505;5.5;7.75;5.35;;4.75;;;;;;23.35
01012506;5;6.5;6.1;;4.25;;;;;;21.85
01012507;8;7.5;7.75;;8.75;;;;;;32
01012508;6;8;7.5;;7.25;;;;;;28.75
01012509;7.5;8.5;8.75;;6.5;;;;;;31.25
01012510;6.75;7.25;6.25;;7.25;;;;;;27.5
01012511;9;7;9.75;;6.75;;;;;;32.5
01012512;6.5;7.5;7.5;;5.25;;;;;;26.75
01012513;6.25;7;8;;9;;;;;;30.25
01012514;6;7.5;7.5;;6.5;;;;;;27.5
01012515;5.5;7.75;4.5;;3.75;;;;;;21.5
01012516;7.1;7.5;8.5;;6.25;;;;;;29.35
01012517;8.5;7.5;6.85;;6;;;;;;28.85
01012518;9;8.75;7.75;;7;;;;;;32.5
01012519;8.5;8.25;8.25;;9;;;;;;34
01012520;4.85;9;5.85;;6;;;;;;25.7
01012521;8;5;9.5;;6.5;;;;;;29
01012522;6.35;8.25;8.35;;7;;;;;;29.95
01012523;8.5;7.75;10;;8.5;;;;;;34.75
01012524;6;7;7;;4.75;;;;;;24.75
01012525;7.5;7.5;8.5;;5.5;;;;;;29
01012526;4.75;6.75;5.5;;6;;;;;;23
01012527;7;8.75;8;;8;;;;;;31.75
01012528;7.25;8.75;9.75;;7.75;;;;;;33.5
01012529;8;8;8.75;;7.75;;;;;;32.5
01012530;7.75;6.25;7;;6;;;;;;27
01012531;5.5;7.25;7;;4.75;;;;;;24.5
01012532;4.25;7.5;5.1;;;6;;;;;22.85
01012533;6.1;9;7.25;;4.75;;;;;;27.1
01012534;8.25;9;7.75;;5.5;;;;;;30.5
01012535;7.25;8.5;5.75;;6.5;;;;;;28
01012536;6.5;8;8.25;;7;;;;;;29.75
01012537;7;8.25;7.5;;3.75;;;;;;26.5
01012538;8.5;8.5;9;;7;;;;;;33
01012539;6.75;9;8.5;;8.25;;;;;;32.5
01012540;8.5;8.25;9;;8.5;;;;;;34.25
01012541;8;6.75;8.5;;7;;;;;;30.25
01012542;4.75;9;6;;5.75;;;;;;25.5
01012543;7.5;8;8.25;;7.5;;;;;;31.25
01012544;6.25;8.75;6;;5.5;;;;;;26.5
01012545;4.1;9.5;;5.1;;7;;;;;25.7
01012546;6.25;9.25;6.75;;7.25;;;;;;29.5
01012547;8;8.25;9;;6.5;;;;;;31.75
01012548;7.5;7.75;8.5;;8.25;;;;;;32
01012549;6.25;7.5;;;;;6.5;;;;20.25
01012550;9;8;8.75;;7.5;;;;;;33.25
01012551;6.25;5.5;8;;7.25;;;;;;27
01012552;7.5;8.5;8;;8.75;;;;;;32.75
01012553;9;7.75;10;;9.5;;;;;;36.25
01012554;5.75;9;6.75;;6.25;;;;;;27.75
01012555;7.75;8.5;7.6;;6.5;;;;;;30.35
01012556;5.5;6.75;5.85;;2.75;;;;;;20.85
01012557;7;6.5;9;;7;;;;;;29.5
01012558;7.25;8;8.25;;6;;;;;;29.5
01012559;5.45;8;9.25;;7.75;;;;;;30.45
01012560;9;8.25;9.5;;6.75;;;;;;33.5
01012561;8.5;8.25;7.5;;;8.75;;;;;33
01012562;8.5;7.25;7.25;;5.75;;;;;;28.75
01012563;9;7.75;8.25;;9;;;;;;34
01012564;5.85;7.5;8.25;;7.75;;;;;;29.35
01012565;9;8.25;8;;7;;;;;;32.25
01012566;9;7;9;;7.75;;;;;;32.75
01012567;5.6;7.75;7.5;;8;;;;;;28.85
01012568;6;8;7.25;;5.75;;;;;;27
01012569;4.35;8;6.5;;3.5;;;;;;22.35
01012570;4.6;7.25;5.1;;4.25;;;;;;21.2
01012571;8.5;8.5;9;;7.5;;;;;;33.5
01012572;8.5;9;9.5;;7.25;;;;;;34.25
01012573;7.75;8.5;8.75;;5.75;;;;;;30.75
01012574;6.5;9.5;7.25;;6.5;;;;;;29.75
01012575;5.25;7.75;5.25;;6.5;;;;;;24.75
01012576;7.5;8;7.75;;5.75;;;;;;29
01012577;6.75;7.5;7;;5.5;;;;;;26.75
01012578;6.75;8;6;;9.25;;;;;;30
01012579;7.5;8.5;8;;7.5;;;;;;31.5
01012580;4.6;8.25;;;;;4.2;;;;25.05
01012581;2.75;7.75;;;;;4.75;;;;21.25
01012582;3.85;7.75;;;;;3.85;;;;21.8
01012583;6.1;8.5;;;;;7.75;;;;30.85
01012584;4.1;8;;;;;5.35;;;;25.95
01012585;1.85;6.75;;;;;4.75;;;;21.2
01012586;3.5;7;;;;;5.25;;;;23.25
01012587;4.75;7.5;;;;;6;;;;26.5
01012588;4.75;7.25;;;;;5.35;;;;26.1
01012589;5;6.25;;;;;6.25;;;;25
01012590;6.6;7.25;;;8.25;8.75;;;;;30.85
01012591;4.7;6.75;;;;;7.75;;;;28.45
01012592;6;7.5;;;8;6.75;;;;;28.25
01012593;5.25;8;;;4;7.5;;;;;24.75
01012594;4.5;7.5;;;6.25;7.5;;;;;25.75
01012595;3.6;8;;;5;4.5;;;;;21.1
01012596;7;8;;;5.5;6;;;;;26.5
01012597;7.5;8.5;;;7;8.35;;;;;31.35
01012598;5.35;8.5;;;9;7.25;;;;;30.1
01012599;7;9.25;;;5.25;7.5;;;;;29
01012600;6.25;8;;;5.75;8.75;;;;;28.75
01012601;5.75;8;;;7.25;7.75;;;;;28.75
01012602;6.25;9;;;7.25;7.75;;;;;30.25
01012603;6.75;8.25;;;7;8.5;;;;;30.5
01012604;5.25;8.5;;;5.75;7.75;;;;;27.25
01012605;3.25;8;;;;;5.75;;;;25
01012606;6.5;8.5;;;8;7.5;;;;;30.5
01012607;5.75;7.5;;;6.5;8;;;;;27.75
01012608;5.25;7;;;4.5;6;;;;;22.75
01012609;6.6;8.5;;;5.5;7.5;;;;;28.1
01012610;4.5;8.5;;;6.75;8.5;;;;;28.25
01012611;8.5;8.25;;;9.5;8.75;;;;;35
01012612;5.5;8.75;;;7.25;5;;;;;26.5
01012613;5.25;7;;;5.5;8.5;;;;;26.25
01012614;4.75;8.75;;;8;9;;;;;30.5
01012615;5.35;7.5;;;9;7.75;;;;;29.6
01012616;6.5;9.25;;;8.25;8.5;;;;;32.5
01012617;4.85;7.25;;;3.5;4;;;;;19.6
01012618;4.75;9;;;7.25;7.75;;;;;28.75
01012619;4.1;8;;;7.75;8.25;;;;;28.1
01012620;5.85;8.75;;;9.75;8.25;;;;;32.6
01012621;6.25;8.75;;;7.25;7.75;;;;;30
01012622;5;9.25;;;5.75;6.75;;;;;26.75
01012623;6.5;8.75;;;6.25;7.75;;;;;29.25
01012624;5.6;9;;;6;7.75;;;;;28.35
01012625;4.75;8.25;;;8.75;9;;;;;30.75
01012626;6.25;8.75;;;6;7.25;;;;;28.25
01012627;6.75;8.75;;;6.5;8.5;;;;;30.5
01012628;5.75;8.25;;;7.25;7;;;;;28.25
01012629;6.5;9.25;;;6.75;7.75;;;;;30.25
01012630;5.85;8.5;;;7.75;7.5;;;;;29.6
01012631;6;8.75;;;7.75;5.85;;;;;28.35
01012632;3.25;6.75;;;;;4.75;;;;20.6
01012633;5;9;;;6.75;8.5;;;;;29.25
01012634;7.25;7;;;6.5;9.5;;;;;30.25
01012635;5.1;8.75;;;4.25;6.5;;;;;24.6
01012636;5.85;8.75;;;6;9;;;;;29.6
01012637;7;8.75;;;7.5;7.25;;;;;30.5
01012638;6.25;8.75;;;7.25;8;;;;;30.25
01012639;4.5;9.25;;;5.75;6.25;;;;;25.75
01012640;5.85;9;;;5.75;6;;;;;26.6
01012641;6;9.25;;;5.75;7;;;;;28
01012642;4;7.75;;;;;5.25;;;;24.75
01012643;5.5;9.25;;;8;7.5;;;;;30.25
01012644;4.5;9;;;7.75;9.25;;;;;30.5
01012645;6.5;9.25;;;6.5;9;;;;;31.25
01012646;4.5;9;;;;;8.5;;;;29.25
01012647;3.1;7;;;;;4.6;;;;21.95
01012648;6.1;8.75;;;7.5;8.25;;;;;30.6
01012649;6.1;7.75;;;5.5;5;;;;;24.35
01012650;3.5;6.5;;;;;6.35;;;;23.95
01012651;6.75;9;;;8.5;8.5;;;;;32.75
01012652;6.35;8.75;;;5.5;7.75;;;;;28.35
01012653;3.25;6.75;;;;;3.7;;;;19.7
01012654;3.85;7.25;;;;;6.6;;;;26.2
01012655;5.85;9.25;;;7.5;8.25;;;;;30.85
01012656;6.75;9.25;;;7;8.75;;;;;31.75
01012657;6.75;7.75;;;7.25;6.75;;;;;28.5
01012658;4.6;8.75;;;;;6.2;;;;27.8
01012659;6;7;;;;;6.75;;;;27.75
01012660;3.7;7.75;;;;;5.35;;;;23.05
01012661;5.1;7;;;;;7.5;;;;28.6
01012662;4.75;8.25;;;;;8.5;;;;27.5
01012663;4;8;;;;;8;;;;28
01012664;2.75;6.5;;;;;3.6;;;;20.6
01012665;2.95;6;;;;;5;;;;21.95
01012666;5;6.5;;;;;5.35;;;;25.1
01012667;4.5;6.25;;;;;5.75;;;;23.75
01012668;4.25;6;;;4.75;;;;;;22
01012669;6.35;8;;;5.25;;;;;;27.85
01012670;4.35;7;;;4.25;;;;;;23.6
01012671;3.6;8.25;;;4.5;;;;;;25.1
01012672;5.75;9;;;6.25;;;;;;29.5
01012673;6.75;9;;;6;;;;;;29.5
01012674;6.1;9.25;;;7;;;;;;30.85
01012675;7;8.5;;;7.5;;;;;;31.75
01012676;4.75;8.75;;;7.5;;;;;;29.75
01012677;7.5;9;;;7.5;;;;;;31.35
01012678;4.85;8;;;3.25;;;;;;23.85
01012679;4.1;6.25;;;3.5;;;;;;20.1
01012680;7;9;;;9;;;;;;33.5
01012681;5.85;9;;;6.75;;;;;;29.1
01012682;4.2;9;;;7;;;;;;28.7
01012683;5.85;9;;;7;;;;;;29.85
01012684;5.5;9;;;6;;;;;;28
01012685;3.5;8.25;;;;;3.1;;;;20.1
01012686;6.35;8.75;;;7.25;;;;;;32.1
01012687;6.25;9;;;6.25;;;;;;29.75
01012688;8.25;8.75;;;6.75;;;;;;32.25
01012689;5.1;9.25;;;7;;;;;;30.6
01012690;6.75;9.5;;;6.5;;;;;;31.5
01012691;2.25;7;;;;;6.75;;;;24
01012692;5.25;7;;;;;8.75;;;;30
01012693;3.75;7;;;;;5.35;;;;22.95
01012694;3.25;7.5;;;;;4.5;;;;22.5
